[02:50:16][55ac][   NOTICE] rdgc::CGameClient::Run: Developer build - for internal use only! [Build: 2020-11-24 18:52:31] Anno7 UPlayGoldmaster Win64 Release-Static v9.2.972600.3064 LandOfLions
[02:50:40][55ac][   NOTICE] rd3d::COutputWindow::Create: Display 0: 2560 x 1080 resolution
[02:50:40][55ac][   NOTICE] rd3d::COutputWindow::Create: Clamped resolution: 2560 x 1080
[02:50:41][55ac][   NOTICE] rd3d::CAmdGpuServices::InitLibrary: Failed initializing AMD GPU Services (return code 4; this is fine for machines with a non-AMD graphics card)
[02:50:41][55ac][   NOTICE] rd3d::CDevice3D11::Create: Created DirectX11 device with feature level 11.0
[02:50:41][55ac][   NOTICE] rd3d::CDevice3D11::Create: Failed querying GPU infos
[02:50:41][55ac][   NOTICE] rd3d::CDevice3D11::Create: Number of GPUs: 1
[02:50:41][55ac][   NOTICE] rd3d::CShaderManager::InitDirectories: Effect file root dir: ''
[02:50:41][55ac][   NOTICE] rd3d::CShaderManager::InitDirectories: Using precompiled shader path: 'C:/Users/john lee/Documents/Anno 1800/shaders/'
[02:50:41][5d10][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/shaders/fx/terrain_tundra.fx' doesn't exist, can't compute file size!
[02:50:48][5d10][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/shaders/fx/terrain_tundra.fx' doesn't exist, can't compute file size!
[02:50:48][55ac][   NOTICE] rd3d::CSessionManager::CreateSession: Created session ID -1:'Default'
[02:50:57][55ac][    ERROR] EalLogOutput: [EAL]: 	This platform has logs enabled.  Don't use it for shipping.
[02:50:57][55ac][    ERROR] EalLogOutput: [EAL]: This platform has traces enabled.  Don't use it for shipping.
[02:50:57][55ac][   NOTICE] rdgs::CAccountSettings::Reset: Language returned by UPlay: "en-US"
[02:50:57][55ac][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/chinese.txt failed with error 3: 系統找不到指定的路徑。

[02:50:57][55ac][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/taiwanese.txt failed with error 3: 系統找不到指定的路徑。

[02:50:57][55ac][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/japanese.txt failed with error 3: 系統找不到指定的路徑。

[02:50:57][55ac][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/korean.txt failed with error 3: 系統找不到指定的路徑。

[02:51:06][55ac][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/config/engine/ambientsettings/local/dlc03_01_storm.xml failed with error 3: 系統找不到指定的路徑。

[02:51:27][55ac][    ERROR] GetWindowsUUID: Failed to initialize security. Error code = 0x-7ffefee7
[02:51:29][55ac][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for RenderEngine
[02:51:33][55ac][   NOTICE] rd3d::CDevice3D::Reset: BackBuffer size 2560x1080
[02:51:34][55ac][   NOTICE] rd3d::CRenderEngine::BeginFrame: All managers and renderers finished loading their most essential resources (all EssentialsLoaded() calls succeeded)
