[12:53:24][7324][   NOTICE] rdgc::CGameClient::Run: Developer build - for internal use only! [Build: 2020-11-24 18:52:31] Anno7 UPlayGoldmaster Win64 Release-Static v9.2.972600.3064 LandOfLions
[12:53:43][7324][   NOTICE] rd3d::COutputWindow::Create: Display 0: 2560 x 1080 resolution
[12:53:43][7324][   NOTICE] rd3d::COutputWindow::Create: Clamped resolution: 2560 x 1080
[12:53:43][7324][   NOTICE] rd3d::CAmdGpuServices::InitLibrary: Failed initializing AMD GPU Services (return code 4; this is fine for machines with a non-AMD graphics card)
[12:53:44][7324][   NOTICE] rd3d::CDevice3D11::Create: Created DirectX11 device with feature level 11.0
[12:53:44][7324][   NOTICE] rd3d::CDevice3D11::Create: Failed querying GPU infos
[12:53:44][7324][   NOTICE] rd3d::CDevice3D11::Create: Number of GPUs: 1
[12:53:44][7324][   NOTICE] rd3d::CShaderManager::InitDirectories: Effect file root dir: ''
[12:53:44][7324][   NOTICE] rd3d::CShaderManager::InitDirectories: Using precompiled shader path: 'C:/Users/john lee/Documents/Anno 1800/shaders/'
[12:53:44][6e28][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/shaders/fx/terrain_tundra.fx' doesn't exist, can't compute file size!
[12:53:48][6e28][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/shaders/fx/terrain_tundra.fx' doesn't exist, can't compute file size!
[12:53:49][7324][   NOTICE] rd3d::CSessionManager::CreateSession: Created session ID -1:'Default'
[12:53:58][7324][    ERROR] EalLogOutput: [EAL]: 	This platform has logs enabled.  Don't use it for shipping.
[12:53:58][7324][    ERROR] EalLogOutput: [EAL]: This platform has traces enabled.  Don't use it for shipping.
[12:53:58][7324][   NOTICE] rdgs::CAccountSettings::Reset: Language returned by UPlay: "en-US"
[12:53:58][7324][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/chinese.txt failed with error 3: 系統找不到指定的路徑。

[12:53:58][7324][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/taiwanese.txt failed with error 3: 系統找不到指定的路徑。

[12:53:58][7324][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/japanese.txt failed with error 3: 系統找不到指定的路徑。

[12:53:58][7324][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/korean.txt failed with error 3: 系統找不到指定的路徑。

[12:54:02][7324][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/config/engine/ambientsettings/local/dlc03_01_storm.xml failed with error 3: 系統找不到指定的路徑。

[12:54:03][7324][    ERROR] GetWindowsUUID: Failed to initialize security. Error code = 0x-7ffefee7
[12:54:04][7324][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for RenderEngine
[12:54:05][7324][   NOTICE] rd3d::CDevice3D::Reset: BackBuffer size 2560x1080
[12:54:05][6e28][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/dlc06/graphics/props/terrain_props/grass/maps/grass_watered_10_diff.psd' doesn't exist, can't compute file size!
[12:54:07][7324][   NOTICE] rd3d::CRenderEngine::BeginFrame: All managers and renderers finished loading their most essential resources (all EssentialsLoaded() calls succeeded)
[12:54:07][7324][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: RenderEngine Finished
[12:54:07][27f8][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for SceneLoading
[12:54:07][6e28][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'test_data/graphics/dummy_jeichner/doedel/ai_123.cfg' doesn't exist, can't compute file size!
[12:54:14][7024][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file rtt_-1 failed with error 2: 系統找不到指定的檔案。

[12:54:14][7024][    ERROR] halo::CImageInfos::GetInfo: Could not load image rtt_-1. Please check the file!
[12:54:19][7024][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/ui/2kimages/main/icons/icon_warning failed with error 3: 系統找不到指定的路徑。

[12:54:19][7024][    ERROR] halo::CImageInfos::GetInfo: Could not load image data/ui/2kimages/main/icons/icon_warning. Please check the file!
[12:54:19][7024][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/ui/2kimages/main/icons/icon_credits_2d_dark.pn failed with error 3: 系統找不到指定的路徑。

[12:54:19][7024][    ERROR] halo::CImageInfos::GetInfo: Could not load image data/ui/2kimages/main/icons/icon_credits_2d_dark.pn. Please check the file!
[12:54:19][7324][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\dummy1920x1200.bk2'
[12:54:19][6e28][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/ui/placeholderimgages/3dobject.png' doesn't exist, can't compute file size!
[12:54:19][7324][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\dummy1920x1200.bk2'
[12:54:20][27f8][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for Epilepsy Screen
[12:54:28][27f8][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for Intro
[12:54:28][7324][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\deco_texture.bik'
[12:54:28][7324][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\deco_texture.bik'
[12:54:28][7324][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\deco_texture.bik'
